id,text,label,prompt,model,date,word_count,readability
35,AI-generated content sample 35: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2023-09-12,25.0,29.180000000000007
36,AI-generated content sample 36: This is an example of text generated by GPT-4 in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,GPT-4,2024-04-13,25.0,29.180000000000007
37,Human-written text sample 37: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-09-22,25.0,46.10000000000002
38,Human-written text sample 38: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-10-11,25.0,49.48400000000001
39,Human-written text sample 39: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-09,25.0,52.86800000000002
40,Human-written text sample 40: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-11-17,25.0,52.86800000000002
41,Human-written text sample 41: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-08-22,25.0,49.48400000000001
42,Human-written text sample 42: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-02-13,25.0,52.86800000000002
43,Human-written text sample 43: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-10-24,28.0,33.38642857142861
44,Human-written text sample 44: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-07-07,25.0,52.86800000000002
45,Human-written text sample 45: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-05-10,25.0,52.86800000000002
46,AI-generated content sample 46: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-02-26,25.0,32.56400000000002
47,Human-written text sample 47: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-07-03,25.0,52.86800000000002
48,AI-generated content sample 48: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2025-05-02,23.0,43.716086956521764
49,Human-written text sample 49: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-12-19,25.0,46.10000000000002
50,AI-generated content sample 50: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-08-04,24.0,37.950000000000045
51,Human-written text sample 51: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-08-30,28.0,33.38642857142861
52,AI-generated content sample 52: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-12-13,24.0,45.00000000000003
53,Human-written text sample 53: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-11-26,28.0,33.38642857142861
54,Human-written text sample 54: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-03-01,25.0,49.48400000000001
55,Human-written text sample 55: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-11-10,28.0,33.38642857142861
56,Human-written text sample 56: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-02-21,25.0,49.48400000000001
57,AI-generated content sample 57: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-05-07,23.0,43.716086956521764
58,Human-written text sample 58: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-06-29,25.0,52.86800000000002
59,AI-generated content sample 59: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2023-10-14,23.0,40.03782608695653
60,Human-written text sample 60: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-12-08,25.0,52.86800000000002
61,Human-written text sample 61: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-07-05,25.0,52.86800000000002
62,Human-written text sample 62: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-26,25.0,46.10000000000002
63,AI-generated content sample 63: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2023-12-13,25.0,32.56400000000002
64,AI-generated content sample 64: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-03-26,23.0,43.716086956521764
65,AI-generated content sample 65: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-11-16,26.0,50.29115384615386
66,AI-generated content sample 66: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2023-10-22,24.0,37.950000000000045
67,Human-written text sample 67: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-04-20,28.0,33.38642857142861
68,Human-written text sample 68: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-09-04,28.0,33.38642857142861
69,Human-written text sample 69: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-09-30,25.0,52.86800000000002
70,AI-generated content sample 70: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2025-04-14,26.0,47.037307692307735
71,AI-generated content sample 71: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2025-03-14,25.0,25.79600000000002
72,Human-written text sample 72: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-11-08,28.0,33.38642857142861
73,Human-written text sample 73: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-05-27,25.0,46.10000000000002
74,Human-written text sample 74: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-13,25.0,49.48400000000001
75,Human-written text sample 75: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-12-02,25.0,52.86800000000002
76,Human-written text sample 76: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-12,25.0,46.10000000000002
77,AI-generated content sample 77: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2023-08-21,23.0,47.39434782608697
78,AI-generated content sample 78: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-04-06,26.0,50.29115384615386
79,Human-written text sample 79: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-05-28,28.0,33.38642857142861
80,AI-generated content sample 80: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2023-09-23,23.0,43.716086956521764
81,Human-written text sample 81: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-30,25.0,49.48400000000001
82,AI-generated content sample 82: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-04-23,26.0,50.29115384615386
83,Human-written text sample 83: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-01-19,25.0,52.86800000000002
84,AI-generated content sample 84: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2023-12-10,25.0,32.56400000000002
85,Human-written text sample 85: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-12-14,25.0,52.86800000000002
86,AI-generated content sample 86: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2025-01-21,23.0,40.03782608695653
87,AI-generated content sample 87: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-04-01,26.0,50.29115384615386
88,Human-written text sample 88: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-11-15,25.0,46.10000000000002
89,Human-written text sample 89: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-01-07,25.0,49.48400000000001
90,AI-generated content sample 90: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-06-02,23.0,43.716086956521764
91,Human-written text sample 91: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-04-05,25.0,46.10000000000002
92,AI-generated content sample 92: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-03-19,23.0,47.39434782608697
93,AI-generated content sample 93: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-03-07,26.0,50.29115384615386
94,AI-generated content sample 94: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2025-02-08,24.0,37.950000000000045
95,Human-written text sample 95: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-09-23,25.0,49.48400000000001
96,Human-written text sample 96: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-01-23,25.0,46.10000000000002
97,Human-written text sample 97: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-07-12,25.0,46.10000000000002
98,Human-written text sample 98: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-01-21,25.0,52.86800000000002
99,Human-written text sample 99: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-01-16,25.0,46.10000000000002
100,AI-generated content sample 100: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2025-01-01,26.0,47.037307692307735
101,Human-written text sample 101: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2025-05-19,25.0,46.10000000000002
102,Human-written text sample 102: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-10,25.0,46.10000000000002
103,AI-generated content sample 103: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-03-14,24.0,37.950000000000045
104,AI-generated content sample 104: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-04-08,24.0,41.47500000000002
105,Human-written text sample 105: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-02-12,28.0,33.38642857142861
106,AI-generated content sample 106: This is an example of text generated by ChatGPT in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,ChatGPT,2024-03-08,26.0,43.78346153846158
107,AI-generated content sample 107: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2025-06-23,23.0,47.39434782608697
108,Human-written text sample 108: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-13,25.0,46.10000000000002
109,Human-written text sample 109: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-01-07,28.0,33.38642857142861
110,Human-written text sample 110: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2023-09-16,25.0,52.86800000000002
111,Human-written text sample 111: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-11-08,25.0,49.48400000000001
112,AI-generated content sample 112: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2023-12-31,24.0,45.00000000000003
113,AI-generated content sample 113: This is an example of text generated by Claude in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Claude,2024-12-13,23.0,47.39434782608697
114,Human-written text sample 114: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-02-14,25.0,49.48400000000001
115,Human-written text sample 115: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-02-27,28.0,33.38642857142861
116,Human-written text sample 116: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2024-04-11,28.0,33.38642857142861
117,Human-written text sample 117: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-03-08,28.0,33.38642857142861
118,AI-generated content sample 118: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2025-03-18,23.0,40.03782608695653
119,Human-written text sample 119: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-09-08,25.0,49.48400000000001
120,AI-generated content sample 120: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2025-03-26,26.0,50.29115384615386
121,AI-generated content sample 121: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-01-23,23.0,40.03782608695653
122,Human-written text sample 122: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-28,25.0,46.10000000000002
123,Human-written text sample 123: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2023-12-29,25.0,49.48400000000001
124,AI-generated content sample 124: This is an example of text generated by ChatGPT in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,ChatGPT,2024-01-14,25.0,25.79600000000002
125,Human-written text sample 125: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-04-27,28.0,33.38642857142861
126,AI-generated content sample 126: This is an example of text generated by Bard in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,Bard,2023-08-24,23.0,47.39434782608697
127,AI-generated content sample 127: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-09-02,24.0,45.00000000000003
128,AI-generated content sample 128: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-03-04,25.0,32.56400000000002
129,AI-generated content sample 129: This is an example of text generated by GPT-4 in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,GPT-4,2024-11-28,26.0,47.037307692307735
130,AI-generated content sample 130: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-07-25,26.0,50.29115384615386
131,AI-generated content sample 131: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-06-03,24.0,41.47500000000002
132,Human-written text sample 132: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2023-10-07,25.0,46.10000000000002
133,Human-written text sample 133: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-06-08,25.0,52.86800000000002
134,AI-generated content sample 134: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2023-10-26,26.0,50.29115384615386
135,Human-written text sample 135: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-07,25.0,46.10000000000002
136,AI-generated content sample 136: This is an example of text generated by Bard in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Bard,2024-04-19,26.0,50.29115384615386
137,Human-written text sample 137: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-01-06,25.0,49.48400000000001
138,Human-written text sample 138: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-06-29,28.0,33.38642857142861
139,Human-written text sample 139: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-03-23,25.0,52.86800000000002
140,AI-generated content sample 140: This is an example of text generated by Claude in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Claude,2024-10-06,24.0,45.00000000000003
141,Human-written text sample 141: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2025-07-22,25.0,52.86800000000002
142,Human-written text sample 142: This is an example of a text written by a human in response to the prompt 'Report from an industry conference.'.,Human-written,Report from an industry conference.,Human,2024-12-13,25.0,49.48400000000001
143,Human-written text sample 143: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-06-22,28.0,33.38642857142861
144,Human-written text sample 144: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2025-06-04,28.0,33.38642857142861
145,Human-written text sample 145: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-09-06,28.0,33.38642857142861
146,AI-generated content sample 146: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2024-05-06,26.0,50.29115384615386
147,AI-generated content sample 147: This is an example of text generated by GPT-4 in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,GPT-4,2024-02-25,24.0,41.47500000000002
148,AI-generated content sample 148: This is an example of text generated by ChatGPT in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,ChatGPT,2024-11-10,23.0,40.03782608695653
149,Human-written text sample 149: This is an example of a text written by a human in response to the prompt 'Editorial on the impact of technology in society.'.,Human-written,Editorial on the impact of technology in society.,Human,2023-10-11,28.0,33.38642857142861
150,AI-generated content sample 150: This is an example of text generated by Bard in response to the prompt 'Generate a creative story about machine learning.'.,AI-generated,Generate a creative story about machine learning.,Bard,2025-01-08,25.0,32.56400000000002
151,AI-generated content sample 151: This is an example of text generated by Claude in response to the prompt 'Write an article on the future of AI.'.,AI-generated,Write an article on the future of AI.,Claude,2023-08-14,26.0,50.29115384615386
152,AI-generated content sample 152: This is an example of text generated by Bard in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,Bard,2024-11-17,24.0,45.00000000000003
153,AI-generated content sample 153: This is an example of text generated by GPT-4 in response to the prompt 'Describe how neural networks work.'.,AI-generated,Describe how neural networks work.,GPT-4,2024-07-22,23.0,43.716086956521764
154,Human-written text sample 154: This is an example of a text written by a human in response to the prompt 'Personal essay on learning programming.'.,Human-written,Personal essay on learning programming.,Human,2024-08-25,25.0,46.10000000000002
155,Human-written text sample 155: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-10-15,25.0,52.86800000000002
156,Human-written text sample 156: This is an example of a text written by a human in response to the prompt 'Interview with an AI researcher.'.,Human-written,Interview with an AI researcher.,Human,2024-10-25,25.0,52.86800000000002
157,AI-generated content sample 157: This is an example of text generated by ChatGPT in response to the prompt 'Explain the benefits of deep learning.'.,AI-generated,Explain the benefits of deep learning.,ChatGPT,2024-09-28,24.0,37.950000000000045
